Total income tax as a percentage of adjusted gross income,Total,Total,Total,Under 5 percent,Under 5 percent,Under 5 percent,5 under 7 percent,5 under 7 percent,5 under 7 percent,7 under 10 percent,7 under 10 percent,7 under 10 percent,10 under 12 percent,10 under 12 percent,10 under 12 percent,12 under 15 percent,12 under 15 percent,12 under 15 percent,15 under 17 percent,15 under 17 percent,15 under 17 percent,17 under 25 percent,17 under 25 percent,17 under 25 percent,25 under 30 percent,25 under 30 percent,25 under 30 percent,30 under 50 percent,30 under 50 percent,30 under 50 percent,50 under 100 percent,50 under 100 percent,50 under 100 percent,100 percent or more,100 percent or more,100 percent or more
,num_returns,agi,total_income_tax,num_returns,agi,total_income_tax,num_returns,agi,total_income_tax,num_returns,agi,total_income_tax,num_returns,agi,total_income_tax,num_returns,agi,total_income_tax,num_returns,agi,total_income_tax,num_returns,agi,total_income_tax,num_returns,agi,total_income_tax,num_returns,agi,total_income_tax,num_returns,agi,total_income_tax,num_returns,agi,total_income_tax
Total,"91,694,201","7,693,198,033","1,045,510,793","25,834,973","908,930,991","26,233,772","12,680,116","628,327,661","38,082,632","22,909,405","1,361,867,737","117,265,642","10,228,777","822,937,259","89,792,598","9,982,830","1,151,282,843","155,828,198","4,270,880","656,490,017","104,666,910","4,893,149","1,287,708,443","264,314,669","811,458","676,435,727","183,422,235","74,275","206,269,147","65,385,608","1,050","415,415","255,143","7,287","-7,467,207","263,385"
Under $5000,"319,664","-6,667,472","168,914","216,733","579,247","11,253","45,111","130,027","7,855","38,415","138,011","11,063","* 7,041","* 24,977","* 2,763","* 4,350","* 16,894","* 2,358","* 1,005","* 2,965",* 467,0,0,0,0,0,0,* 140,* 533,* 211,0,0,0,"6,869","-7,560,125","132,944"
$5000 under $10000,"2,174,954","17,014,975","425,620","2,093,324","16,407,189","356,716","21,214","158,228","9,527","28,272","215,267","18,204","10,056","70,109","7,873","10,157","85,367","10,837","* 2,011","* 15,775","* 2,590","* 6,136","* 36,897","* 7,165","* 3,016","* 20,572","* 5,483",* 103,* 964,* 391,* 330,"* 1,877","* 1,674",* 334,"* 2,730","* 5,160"
$10000 under $15000,"5,037,783","63,724,545","1,709,805","4,491,564","56,633,213","1,281,911","505,879","6,599,744","368,999","18,166","219,536","18,347","* 7,213","* 94,229","* 10,530","* 8,733","* 109,508","* 14,066",0,0,0,"* 4,965","* 53,721","* 11,388","* 1,100","* 12,762","* 3,583",* 152,"* 1,705",* 745,* 3,* 44,* 35,* 7,* 84,* 202
$15000 under $20000,"5,284,261","92,375,045","3,878,287","4,020,269","68,797,966","2,458,561","1,018,949","19,280,422","1,057,674","211,764","3,751,593","289,696","23,234","373,071","41,968","5,279","88,586","11,371","* 2,011","* 35,571","* 5,680","* 1,433","* 23,909","* 4,384",0,0,0,"* 1,200","* 21,754","* 6,780",* 110,"* 1,983","* 1,556",* 11,* 189,* 616
$20000 under $25000,"5,330,665","119,865,777","6,317,626","1,670,352","37,385,808","831,774","2,558,496","56,173,512","3,498,770","1,088,958","26,014,228","1,944,552","3,564","84,632","9,434","4,062","90,949","11,567","2,905","63,363","10,309",d,d,d,0,0,0,0,0,0,0,0,0,d,d,d
$25000 under $30000,"5,303,241","145,680,579","8,916,974","1,693,624","46,638,458","1,105,977","551,132","14,929,411","934,887","2,990,865","82,249,062","6,665,964","58,355","1,613,166","168,577","* 5,332","* 142,583","* 19,466",644,"18,026","2,964",d,d,d,* 47,"* 1,303",* 351,* 327,"* 8,922","* 2,853",d,d,d,0,0,0
$30000 under $40000,"10,387,300","363,409,631","24,731,347","3,536,026","123,442,031","3,678,058","1,036,356","36,953,260","2,183,086","4,765,046","162,825,737","14,725,884","1,038,440","39,781,917","4,071,020","5,305","186,554","24,733",609,"21,435","3,415","5,098","184,421","36,793",* 6,* 219,* 61,* 103,"* 3,522","* 1,091",d,d,d,d,d,d
$40000 under $50000,"9,179,032","412,007,993","30,555,752","2,235,541","100,182,530","2,662,335","2,032,953","91,094,904","5,544,858","1,834,344","82,649,014","7,026,898","2,696,136","119,566,353","13,021,085","375,025","18,279,521","2,249,472",792,"36,909","6,030","3,199","148,619","29,244",* 49,"* 2,118",* 596,* 974,"* 47,165","* 14,613",* 19,* 859,* 621,0,0,0
$50000 under $75000,"17,672,862","1,090,633,760","93,323,001","3,767,507","229,777,821","6,706,336","2,356,909","146,113,127","8,831,071","5,849,515","364,434,127","31,104,340","1,388,286","84,967,305","9,349,004","3,322,078","197,453,243","26,606,536","974,393","66,990,549","10,541,021","13,366","845,065","167,593",629,"41,785","11,402",* 136,"* 8,045","* 3,537",* 33,"* 2,059","* 1,225",* 10,* 635,* 936
$75000 under $100000,"11,683,177","1,011,099,797","96,018,996","1,514,094","128,931,394","4,246,733","1,676,796","144,398,276","8,752,122","3,594,935","311,450,893","26,991,398","2,356,015","206,122,956","22,148,317","1,094,727","95,164,271","12,812,125","808,372","68,459,960","11,026,742","636,678","56,443,347","10,000,720",455,"41,458","10,987","* 1,048","* 82,261","* 26,291",* 48,"* 4,367","* 2,544",* 8,* 615,"* 1,018"
$100000 under $200000,"14,640,768","1,963,004,189","248,967,619","543,389","64,275,184","2,126,257","848,243","98,744,761","6,069,929","2,425,994","292,878,416","25,463,974","2,555,772","323,996,300","35,838,668","4,799,547","661,787,110","89,263,110","1,878,807","287,182,392","45,632,374","1,580,296","232,779,163","44,197,088","6,926","1,105,447","292,109","1,753","249,382","78,243",* 24,"* 3,580","* 2,280",* 17,"* 2,454","* 3,587"
$200000 or more,"4,680,493","2,421,049,214","530,496,852","52,550","35,880,150","767,863","28,077","13,751,991","823,854","63,131","35,041,855","3,005,322","84,664","46,242,245","5,123,359","348,234","177,878,257","24,802,558","599,330","233,663,072","37,435,318","2,636,736","997,060,440","209,833,385","799,229","675,210,062","183,097,662","68,340","205,844,894","65,250,853",176,"390,183","238,434",25,"86,065","118,243"